permission_id,role_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
66,2
53,2
65,2
64,2
68,2
67,2
77,2
55,2
54,2
57,2
59,2
90,2
87,2
89,2
85,2
84,2
81,2
91,2
88,2
79,2
83,2
82,2
80,2
86,2
32,2
62,2
48,2
50,2
69,2
61,2
63,2
49,2
47,2
70,2
51,2
46,2
2,4
73,4
72,4
76,4
75,4
70,4
71,4
74,4
69,4
33,4
63,4
62,4
61,4
28,4
49,4
51,4
47,4
48,4
46,4
50,4
52,4
34,4
92,4
90,4
87,4
89,4
85,4
84,4
81,4
91,4
88,4
79,4
83,4
82,4
80,4
32,4
92,2
54,4
77,4
57,4
59,4
35,5
77,5
54,5
57,5
59,5
90,5
87,5
89,5
85,5
84,5
81,5
91,5
88,5
79,5
83,5
82,5
80,5
86,5
32,5
53,5
68,5
64,5
62,5
48,5
50,5
69,5
61,5
92,5
63,5
49,5
47,5
51,5
46,5
65,5
2,6
72,6
76,6
75,6
70,6
71,6
74,6
69,6
20,6
12,6
8,6
16,6
3,6
24,6
33,6
63,6
62,6
61,6
43,6
44,6
45,6
28,6
49,6
51,6
47,6
48,6
46,6
50,6
52,6
34,6
92,6
90,6
87,6
89,6
85,6
84,6
81,6
91,6
88,6
79,6
83,6
82,6
80,6
86,6
32,6
